total_C,total_S,P.C.deep,P.S.deep,Reach,Site,Year
1.266666667,4,1,1,ASH,ASH-02,2014
2.572983671,1.088570015,1,1,ASH,ASH-03,2014
2.873563218,0.621310966,1,1,ASH,ASH-04,2014
4.797979798,3.282828283,1,1,ASH,ASH-05,2014
2.812939522,1.534330648,1,1,ASH,ASH-07,2014
3.620955316,1.078582435,1,1,ASH,ASH-08,2014
0.78279929,1.565598581,0,0,ASH,ASH-09,2014
2.408637874,0.996677741,1,1,ASH,ASH-10,2014
1.679697966,0.966800633,1,1,ASH,ASH-6B,2014
0.174428746,0,0,0,ASH,ASH-N1,2014
0.898279421,0.051413882,0.057235957,1,ASH,ASH-N2,2014
0.648033401,0.218531469,0,0,ASH,ASH-N3,2014
0.149925037,0.049975012,0,0,ASH,ASH-N4,2014
0.748020362,0.048076923,1,1,ASH,ASH-N5,2014
2.481095678,1.043919882,1,1,ASH,ASH-N6,2014
2,0.266666667,0.333333334,0.749999999,HSC,HSC-01,2014
3.6,1.533333333,0,0,HSC,HSC-02,2014
0.533333333,1.133333333,0.625,0.294117647,HSC,HSC-03,2014
1.066666666,1.8,1,1,HSC,HSC-04,2014
0.666666667,0.466666666,0.1,0.285714285,HSC,HSC-05,2014
1.116427432,0,0,0,PUD,PUD-N1,2014
0.114942529,0.114942529,0,0,PUD,PUD-N2,2014
0.317567568,0.094594595,0,,PUD,PUD-N3,2014
6.059733997,0.357781753,0.64574509,0,YAK,YAK-01,2014
0.734453782,0,0,0,YAK,YAK-02,2014
0,2.565500307,0,0,YAK,YAK-03,2014
0.448809524,0.274404762,0,0,YAK,YAK-04,2014
0.982148461,0.249868348,1,1,YAK,YAK-05,2014
0.537156796,0.681529385,0.844862182,0.266355918,YAK,YAK-06,2014
2.002380953,0.355952381,0.267538645,0.25083612,YAK,YAK-07,2014
0.965517241,0.298850575,1,1,YAK,YAK-08,2014
0.766738803,0.278182176,1,1,ASH,ASH-00,2015
0.224292616,0.262249827,0.221538461,0.757894738,ASH,ASH-01,2015
0.875362319,0.34589372,0.238410596,0.10055866,ASH,ASH-02,2015
0.161616162,0.128787879,0,0.529411762,ASH,ASH-03,2015
0.181818182,0.313852813,1,0.772413794,ASH,ASH-04,2015
0.87020202,0.320707071,1,1,ASH,ASH-05,2015
0.218055556,0.106944444,0.713375797,0.415584413,ASH,ASH-06,2015
0.333333333,0.24829932,0,0,ASH,ASH-07,2015
3.535714286,0.551785714,1,1,ASH,ASH-08,2015
0.298412699,0.395382396,0.893617021,0.919708029,ASH,ASH-09,2015
1.785843686,0.265269151,1,1,ASH,ASH-10,2015
0.48984349,0.12953713,0,0,ASH,ASH-6B,2015
0.206127206,0.480963481,0.62197092,0.62197092,ASH,ASH-N1,2015
0.332606287,0.457848636,0.749453524,0.362962682,ASH,ASH-N2,2015
0.204081633,0.272108844,0,1,ASH,ASH-N3,2015
0.589363032,0.313500963,0.748909053,0.527964059,ASH,ASH-N5,2015
0.263157895,0.165789474,0,0.603174602,ASH,ASH-N6,2015
0,3.285714286,0,0,HAT,HAT-02,2015
0,0.41025641,0,0,HAT,HAT-03,2015
0,3.636363636,0,0,HAT,HAT-04,2015
0,4.242424242,0,0,HAT,HAT-06,2015
0,0.904977376,0,0,HAT,HAT-07,2015
0,1.43472023,0,0,HAT,HAT-08,2015
1.345160286,2.073036622,0.724664507,0.940446402,HSC,HSC-00,2015
1.537037037,1.092592593,1,1,HSC,HSC-01,2015
1.906565656,1.421717172,1,1,HSC,HSC-02,2015
0.740274415,0.824374495,0.69472307,0.554532994,HSC,HSC-03,2015
1.326846528,0.060150376,0.113333333,1,HSC,HSC-04,2015
0.424719888,0.1302521,1,1,HSC,HSC-05,2015
0.421052632,0.421052632,0,0,KEY,KEY-01,2015
3.218181818,0.072727273,1,1,KEY,KEY-02,2015
2.853968254,0.892063492,1,1,KEY,KEY-03,2015
0.841491842,0.34965035,0,0,KEY,KEY-04,2015
2.5,0,0,0,KEY,KEY-05,2015
0.72960373,0,0,0,PUD,PUD-N1,2015
2.781481481,1.137037037,0.467376831,0.087947883,PUD,PUD-N2,2015
0.691752973,0.286766398,1,1,PUD,PUD-N3,2015
1.692307692,0.923076923,1,1,YAK,YAK-01,2015
0,0.214285714,0,0,YAK,YAK-02,2015
0,0.444444444,0,0,YAK,YAK-03,2015
0.156862745,0.156862745,0,0,YAK,YAK-04,2015
0.222222222,0.666666667,0,0,YAK,YAK-05,2015
0.222222222,0.148148148,1,1,YAK,YAK-06,2015
0.177777778,0.355555556,1,1,YAK,YAK-07,2015
0.034482759,0.655172414,1,1,YAK,YAK-08,2015
